date.time,logger.site,logger.position,sensor.depth,site.total.depth,logger.type,latitude,longitude,dissolved.oxygen,temperature,logger.id
7/25/21 12:05,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,NA,13.18,21063704
7/25/21 12:05,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,13.714,20659269
7/25/21 12:05,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,7.44,18.44,21063701
7/25/21 12:05,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.413,20659256
7/25/21 12:05,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,8.02,19.24,20708554
7/25/21 12:05,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.246,20659266
7/25/21 12:05,site.5.head,0.4_do,0.4,1.6,hobo.onset.do,44.2300329,-123.1622797,6.91,NA,20708552
7/25/21 12:05,site.5.head,1.35_do,1.35,1.6,minidot.do,44.2300329,-123.1622797,5.012,NA,243373
7/25/21 12:10,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,NA,13.18,21063704
7/25/21 12:10,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,13.69,20659269
7/25/21 12:10,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,7.1,18.52,21063701
7/25/21 12:10,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.508,20659256
7/25/21 12:10,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,8.11,19.32,20708554
7/25/21 12:10,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.317,20659266
7/25/21 12:10,site.5.head,0.4_do,0.4,1.6,hobo.onset.do,44.2300329,-123.1622797,7.15,NA,20708552
7/25/21 12:10,site.5.head,1.35_do,1.35,1.6,minidot.do,44.2300329,-123.1622797,4.791,NA,243373
7/25/21 12:15,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,NA,13.2,21063704
7/25/21 12:15,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,13.714,20659269
7/25/21 12:15,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,7,18.42,21063701
7/25/21 12:15,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.555,20659256
7/25/21 12:15,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,8.19,19.38,20708554
