ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
5,2021-07-29T00:05:00Z,13.5,blue.ruin,0.887238493723849,2.68056675542031,2021-07-29
7,2021-07-29T00:05:00Z,14.018,blue.ruin,0.840794979079498,2.82158615443134,2021-07-29
8,2021-07-29T00:05:00Z,16.283,blue.ruin,0.63771667662881,3.43820572732707,2021-07-29
10,2021-07-29T00:05:00Z,12.539,blue.ruin,1.02706692913386,2.57458095472441,2021-07-29
15,2021-07-29T00:05:00Z,13.148,blue.ruin,0.918798565451285,2.5847389012661,2021-07-29
16,2021-07-29T00:05:00Z,14.027,norwood,1.06439588688946,3.44939331619537,2021-07-29
17,2021-07-29T00:05:00Z,16.698,blue.ruin,0.600508069336521,3.55118458946911,2021-07-29
23,2021-07-29T00:05:00Z,14.438,blue.ruin,0.803138075313807,2.93592620768353,2021-07-29
30,2021-07-29T00:05:00Z,13.915,blue.ruin,0.85002988643156,2.79354561756235,2021-07-29
11,2021-07-29T00:10:00Z,15.6,blue.ruin,0.694565217391304,3.29810276679842,2021-07-29
14,2021-07-29T00:10:00Z,14.817,norwood,0.853296703296703,3.15671428571429,2021-07-29
22,2021-07-29T00:10:00Z,14.236,blue.ruin,0.818115942028985,2.90723320158103,2021-07-29
31,2021-07-29T00:10:00Z,15.175,blue.ruin,0.733061594202899,3.17631422924901,2021-07-29
7,2021-07-29T00:15:00Z,13.955,blue.ruin,0.841670024174053,2.82498992747784,2021-07-29
10,2021-07-29T00:15:00Z,12.602,blue.ruin,1.00337837837838,2.55911655405405,2021-07-29
13,2021-07-29T00:15:00Z,15.168,norwood,0.814554140127389,3.62100318471337,2021-07-29
16,2021-07-29T00:15:00Z,13.902,norwood,1.1391235059761,3.56947091633466,2021-07-29
17,2021-07-29T00:15:00Z,16.322,blue.ruin,0.627095084609186,3.46871474617244,2021-07-29
21,2021-07-29T00:15:00Z,15.589,blue.ruin,0.693543513295729,3.26936946011281,2021-07-29
30,2021-07-29T00:15:00Z,15.232,blue.ruin,0.725906526994359,3.17228041901692,2021-07-29
5,2021-07-29T00:20:00Z,14.25,blue.ruin,0.812365809195868,2.94299040639328,2021-07-29
