ibutton,date.time,time,hour,ibutton.temp,site,fish.depth,dissolved.oxygen
2,7/25/2021 0:05,0:05,0,14,norwood.mouth,1.200928678,5.048315565
2,7/25/2021 0:20,0:20,0,14.812,norwood.mouth,0.951206897,6.094923707
2,7/25/2021 0:30,0:30,0,14.25,norwood.mouth,1.06641129,5.417947177
2,7/25/2021 0:45,0:45,0,14.562,norwood.mouth,0.989299124,5.589755945
2,7/25/2021 0:55,0:55,0,15,norwood.mouth,0.890540541,5.928351351
2,7/25/2021 1:05,1:05,1,15,norwood.mouth,0.888068182,5.829221117
2,7/25/2021 1:20,1:20,1,15.062,norwood.mouth,0.857573633,5.864309958
2,7/25/2021 1:30,1:30,1,14.562,norwood.mouth,0.962762973,5.26081136
2,7/25/2021 1:45,1:45,1,15.062,norwood.mouth,0.858261934,5.685189412
2,7/25/2021 1:55,1:55,1,15.25,norwood.mouth,0.835464066,5.737386331
2,7/25/2021 2:05,2:05,2,15.562,norwood.mouth,0.806349206,5.837604497
2,7/25/2021 2:20,2:20,2,15.062,norwood.mouth,0.843948699,5.589606425
2,7/25/2021 2:30,2:30,2,13.938,norwood.mouth,1.079254869,4.161559589
2,7/25/2021 2:45,2:45,2,14.812,norwood.mouth,0.86511335,5.184537783
2,7/25/2021 2:55,2:55,2,15.188,norwood.mouth,0.822059362,5.366200592
2,7/25/2021 3:05,3:05,3,14.875,norwood.mouth,0.838983977,5.211329843
2,7/25/2021 3:20,3:20,3,15,norwood.mouth,0.829086758,5.210443531
2,7/25/2021 3:30,3:30,3,15.125,norwood.mouth,0.813389893,5.231614918
2,7/25/2021 3:45,3:45,3,14.938,norwood.mouth,0.824705349,5.088081822
2,7/25/2021 3:55,3:55,3,14.875,norwood.mouth,0.828579275,4.996028927
2,7/25/2021 4:05,4:05,4,14.188,norwood.mouth,0.945064935,4.287877922
2,7/25/2021 4:20,4:20,4,14.625,norwood.mouth,0.843495633,4.805726569
2,7/25/2021 4:30,4:30,4,15.625,norwood.mouth,0.756930126,5.269514653
2,7/25/2021 4:45,4:45,4,14.938,norwood.mouth,0.817305524,4.796751973
2,7/25/2021 4:55,4:55,4,14.938,norwood.mouth,0.809254402,4.82373595
2,7/25/2021 5:05,5:05,5,15.125,norwood.mouth,0.786261682,4.91991215
2,7/25/2021 5:20,5:20,5,14.312,norwood.mouth,0.880747922,4.431425208
2,7/25/2021 5:30,5:30,5,13.938,norwood.mouth,0.955234657,3.951138688
2,7/25/2021 5:45,5:45,5,15,norwood.mouth,0.790770278,4.78761739
2,7/25/2021 5:55,5:55,5,13,norwood.mouth,1.275206612,2.164422521
2,7/25/2021 6:05,6:05,6,13.438,norwood.mouth,1.086931818,3.119528409
2,7/25/2021 6:20,6:20,6,13.688,norwood.mouth,0.97534965,3.770465472
2,7/25/2021 6:30,6:30,6,14.125,norwood.mouth,0.848090145,4.457539216
2,7/25/2021 6:45,6:45,6,13.812,norwood.mouth,0.912327586,4.091711422
2,7/25/2021 6:55,6:55,6,13.688,norwood.mouth,0.950693069,3.757106188
2,7/25/2021 7:05,7:05,7,13.625,norwood.mouth,0.949409781,3.763699199
2,7/25/2021 7:20,7:20,7,13.438,norwood.mouth,1.015188042,3.496536885
2,7/25/2021 7:30,7:30,7,13.438,norwood.mouth,0.989347409,3.648892514
2,7/25/2021 7:45,7:45,7,13.312,norwood.mouth,1.018845761,3.506581971
2,7/25/2021 7:55,7:55,7,14.312,norwood.mouth,0.81241665,4.634926551
2,7/25/2021 8:05,8:05,8,13.562,norwood.mouth,0.93707483,3.953104308
2,7/25/2021 8:20,8:20,8,13.5,norwood.mouth,0.932758621,4.017758621
2,7/25/2021 8:30,8:30,8,13.812,norwood.mouth,0.839633792,4.545325131
2,7/25/2021 8:45,8:45,8,13.375,norwood.mouth,0.992903226,3.705413172
2,7/25/2021 8:55,8:55,8,13.375,norwood.mouth,0.969281046,3.846770425
2,7/25/2021 9:05,9:05,9,13.438,norwood.mouth,0.959328358,3.913089863
2,7/25/2021 9:20,9:20,9,13.562,norwood.mouth,0.894692737,4.336199255
2,7/25/2021 9:30,9:30,9,13.062,norwood.mouth,1.110717897,3.138717897
2,7/25/2021 9:45,9:45,9,12.812,norwood.mouth,1.22955289,2.551383997
2,7/25/2021 9:55,9:55,9,13.125,norwood.mouth,1.130065975,3.17782328
2,7/25/2021 10:05,10:05,10,12.625,norwood.mouth,1.359328727,1.897235727
2,7/25/2021 10:20,10:20,10,12.312,norwood.mouth,1.459473684,1.336939474
2,7/25/2021 10:30,10:30,10,12.688,norwood.mouth,1.349611063,1.996127413
2,7/25/2021 10:45,10:45,10,12.688,norwood.mouth,1.320636451,2.218003656
2,7/25/2021 10:55,10:55,10,12.438,norwood.mouth,1.482462419,1.401447447
2,7/25/2021 11:05,11:05,11,12.125,norwood.mouth,1.55,1.052166667
2,7/25/2021 11:20,11:20,11,12.812,norwood.mouth,1.327908869,2.413178024
2,7/25/2021 11:30,11:30,11,12.75,norwood.mouth,1.484728033,1.771783473
2,7/25/2021 11:45,11:45,11,12.562,norwood.mouth,1.460596546,2.323493917
2,7/25/2021 11:55,11:55,11,12.75,norwood.mouth,1.470082645,2.547109917
2,7/25/2021 12:05,12:05,12,12.312,norwood.mouth,1.55,2.218583333
2,7/25/2021 12:20,12:20,12,12.438,norwood.mouth,1.55,2.41875
2,7/25/2021 12:30,12:30,12,12.188,norwood.mouth,1.55,2.64775
2,7/25/2021 12:45,12:45,12,12.25,norwood.mouth,1.55,2.950833333
2,7/25/2021 12:55,12:55,12,12.062,norwood.mouth,1.55,3.104666667
2,7/25/2021 13:05,13:05,13,12.062,norwood.mouth,1.55,3.312
2,7/25/2021 13:20,13:20,13,12.312,norwood.mouth,1.55,3.707166667
