"hour","depth","temperature","dissolved.oxygen","temp.fact","do.fact","WQI"
7,0.2,16.8,3.9,0.53,0.2,0.33
8,0.2,17,4.5,0.51,0.28,0.38
9,0.2,17.5,5.2,0.46,0.38,0.42
10,0.2,18.1,6.6,0.4,0.58,0.48
11,0.2,18.9,7.6,0.33,0.72,0.49
12,0.2,19.8,8.6,0.24,0.86,0.45
13,0.2,20.7,8.9,0.15,0.9,0.37
14,0.2,21.3,9.2,0.1,0.94,0.31
15,0.2,21.9,9.5,0.04,0.99,0.2
16,0.2,22.3,9.6,0,1,0
17,0.2,22.1,9.6,0.02,1,0.14
18,0.2,21.9,9.5,0.04,0.99,0.2
19,0.2,21.6,9,0.07,0.92,0.25
20,0.2,20.9,8.3,0.13,0.82,0.33
21,0.2,20.2,7.4,0.2,0.69,0.37
22,0.2,19.7,6.8,0.25,0.61,0.39
23,0.2,19.3,5.9,0.29,0.48,0.37
0,0.2,18.9,5.3,0.33,0.39,0.36
1,0.2,18.6,4.9,0.36,0.34,0.35
2,0.2,18.2,4.5,0.39,0.28,0.33
3,0.2,18.1,4.5,0.4,0.28,0.33
4,0.2,18.2,3.7,0.39,0.17,0.26
5,0.2,17.6,3.4,0.45,0.13,0.24
6,0.2,17.3,3.6,0.48,0.15,0.27
7,0.4,16.5,3.7,0.56,0.17,0.31
8,0.4,16.8,4.4,0.53,0.27,0.38
9,0.4,17.6,5,0.45,0.35,0.4
10,0.4,18.3,6.3,0.38,0.54,0.45
11,0.4,19.2,7.3,0.3,0.68,0.45
12,0.4,20.1,8.1,0.21,0.79,0.41
13,0.4,20.8,8.5,0.14,0.85,0.34
14,0.4,21.3,8.9,0.1,0.9,0.3
15,0.4,21.9,8.9,0.04,0.9,0.19
16,0.4,22.2,9,0.01,0.92,0.1
17,0.4,22.1,9,0.02,0.92,0.14
18,0.4,21.9,8.5,0.04,0.85,0.18
19,0.4,21.5,7.7,0.08,0.73,0.24
20,0.4,20.7,7.2,0.15,0.66,0.31
21,0.4,19.9,6.4,0.23,0.55,0.36
22,0.4,19.4,5.9,0.28,0.48,0.37
23,0.4,18.9,5.2,0.33,0.38,0.35
0,0.4,18.5,4.7,0.37,0.31,0.34
1,0.4,18.2,4.4,0.39,0.27,0.32
2,0.4,17.9,4.1,0.42,0.23,0.31
3,0.4,17.8,4,0.43,0.21,0.3
4,0.4,18,3.4,0.41,0.13,0.23
5,0.4,17.1,3.2,0.5,0.1,0.22
6,0.4,16.9,3.3,0.52,0.11,0.24
7,0.6,15.4,3,0.66,0.07,0.21
8,0.6,15.8,3.8,0.62,0.18,0.33
9,0.6,16.9,4.5,0.52,0.28,0.38
10,0.6,17.9,5.4,0.42,0.41,0.41
11,0.6,18.8,6.3,0.34,0.54,0.43
12,0.6,19.6,7,0.26,0.63,0.4
13,0.6,20.3,7.7,0.19,0.73,0.37
14,0.6,21,8.2,0.12,0.8,0.31
15,0.6,21.3,8,0.1,0.77,0.28
16,0.6,21.7,7.9,0.06,0.76,0.21
17,0.6,21.5,7.9,0.08,0.76,0.25
18,0.6,21.1,7.2,0.12,0.66,0.28
19,0.6,20,6.2,0.22,0.52,0.34
20,0.6,19.1,5.8,0.31,0.46,0.38
21,0.6,18.3,5.1,0.38,0.37,0.37
22,0.6,17.8,4.5,0.43,0.28,0.35
23,0.6,17.4,4,0.47,0.21,0.31
0,0.6,17.1,3.7,0.5,0.17,0.29
1,0.6,16.8,3.4,0.53,0.13,0.26
2,0.6,16.5,3.1,0.56,0.08,0.21
3,0.6,16.5,3,0.56,0.07,0.2
4,0.6,16.7,2.9,0.54,0.06,0.18
5,0.6,15.8,2.7,0.62,0.03,0.14
