location,thermo.measure.loc,fish.depth,depth.m
blue.ruin,br.0822.thermo.1,0.58125,0.6
blue.ruin,br.0822.thermo.1,0.633333333,0.6
blue.ruin,br.0822.thermo.1,0.5625,0.6
blue.ruin,br.0822.thermo.1,0.633333333,0.6
blue.ruin,br.0822.thermo.1,0.633333333,0.6
blue.ruin,br.0822.thermo.2,1.18,1.3
blue.ruin,br.0822.thermo.2,1.241666667,1.3
blue.ruin,br.0822.thermo.2,1.325,1.3
blue.ruin,br.0822.thermo.2,1.366666667,1.3
blue.ruin,br.0822.thermo.2,1.15,1.3
blue.ruin,br.0822.thermo.3,1.416666667,1.4
blue.ruin,br.0822.thermo.4,1.052631579,1.1
blue.ruin,br.0822.thermo.4,1.084210526,1.1
blue.ruin,br.0822.thermo.4,1.133333333,1.1
cottonwood,cottonwood.site.1,0.885714286,0.9
cottonwood,cottonwood.site.1,0.885714286,0.9
cottonwood,cottonwood.site.1,1,0.9
cottonwood,cottonwood.site.4,0.871428571,0.6
cottonwood,cottonwood.site.4,0.5875,0.6
cottonwood,cottonwood.site.4,0.95,0.6
cottonwood,cottonwood.site.4,1,0.6
cottonwood,cottonwood.site.4,0.833333333,0.6
cottonwood,cottonwood.site.4,0.677777778,0.6
cottonwood,cottonwood.site.4,0.871428571,0.6
cottonwood,cottonwood.site.4,0.5875,0.6
cottonwood,cottonwood.site.4,0.833333333,0.6
cottonwood,cottonwood.site.4,0.833333333,0.6
cottonwood,cottonwood.site.4,0.871428571,0.6
cottonwood,cottonwood.site.4,0.766666667,0.6
cottonwood,cottonwood.site.4,0.766666667,0.6
harrisburg,harrisburg.site.1,2.1,2.1
harrisburg,harrisburg.site.1,2.1,2.1
harrisburg,harrisburg.site.1,2.028571429,2.1
harrisburg,harrisburg.site.1,2.042857143,2.1
harrisburg,harrisburg.site.1,1.86,2.1
harrisburg,harrisburg.site.1,2.014285714,2.1
harrisburg,harrisburg.site.2,1.788888889,1.5
harrisburg,harrisburg.site.2,1.722222222,1.5
harrisburg,harrisburg.site.2,1.744444444,1.5
harrisburg,harrisburg.site.2,1.54,1.5
harrisburg,harrisburg.site.2,1.584615385,1.5
harrisburg,harrisburg.site.2,1.766666667,1.5
harrisburg,harrisburg.site.3,1.54,1.1
harrisburg,harrisburg.site.3,1.333333333,1.1
harrisburg,harrisburg.site.3,1.55,1.1
harrisburg,harrisburg.site.3,1.366666667,1.1
harrisburg,harrisburg.site.4,0.35,0.5
harrisburg,harrisburg.site.4,0.2,0.5
norwood,nor.0827.thermo.1,0.972222222,1
norwood,nor.0827.thermo.1,0.905555556,1
norwood,nor.0827.thermo.1,0.905555556,1
norwood,nor.0827.thermo.1,0.876923077,1
norwood,nor.0827.thermo.2,0.971428571,0.8
norwood,nor.0827.thermo.2,0.866666667,0.8
