"site","date","time","date.time","latitude","longitude","fish.capture.loc","thermo.measure.loc","fish.temp","fish.depth"
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.232834,-123.163065,"br.0822.thermo.4","br.0822.thermo.4",16,1.05263157894737
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.232834,-123.163065,"br.0822.thermo.4","br.0822.thermo.4",15.7,1.08421052631579
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.232834,-123.163065,"br.0822.thermo.4","br.0822.thermo.4",14.3,1.13333333333333
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.232542,-123.162969,"br.0822.thermo.3","br.0822.thermo.3",14.2,1.41666666666667
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230402,-123.162473,"br.0822.thermo.2","br.0822.thermo.2",14.5,1.18
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230402,-123.162473,"br.0822.thermo.2","br.0822.thermo.2",14.2,1.24166666666667
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230402,-123.162473,"br.0822.thermo.2","br.0822.thermo.2",14,1.325
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230402,-123.162473,"br.0822.thermo.2","br.0822.thermo.2",13.9,1.36666666666667
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230402,-123.162473,"br.0822.thermo.2","br.0822.thermo.2",14.8,1.15
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230089,-123.16232,"br.0822.thermo.1","br.0822.thermo.1",14.3,0.58125
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230089,-123.16232,"br.0822.thermo.1","br.0822.thermo.1",13.8,0.633333333333333
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.230089,-123.16232,"br.0822.thermo.1","br.0822.thermo.1",14.6,0.5625
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.229883,-123.162211,"br.0822.thermo.1","br.0822.thermo.1",13.8,0.633333333333333
"blue.ruin","8/22/2019","12:30",2019-08-22 12:30:00,44.229883,-123.162211,"br.0822.thermo.1","br.0822.thermo.1",13.8,0.633333333333333
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.383901,-123.237078,"nor.0827.thermo.1","nor.0827.thermo.1",13.3,0.972222222222222
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.383901,-123.237078,"nor.0827.thermo.1","nor.0827.thermo.1",14.5,0.905555555555556
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.383901,-123.237078,"nor.0827.thermo.1","nor.0827.thermo.1",14.5,0.905555555555556
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.383901,-123.237078,"nor.0827.thermo.1","nor.0827.thermo.1",14.9,0.876923076923077
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.384147,-123.236812,"nor.0827.thermo.2","nor.0827.thermo.2",13.6,0.971428571428572
"norwood","8/27/2019","10:32",2019-08-27 10:32:00,44.384147,-123.236812,"nor.0827.thermo.2","nor.0827.thermo.2",14.5,0.866666666666667
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29519,-123.18979,"cottonwood.site.1","cottonwood.site.1",17.2,0.885714285714286
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29519,-123.18979,"cottonwood.site.1","cottonwood.site.1",17.2,0.885714285714286
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29496,-123.18984,"cottonwood.site.2","cottonwood.site.1",16.8,1
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29465,-123.18972,"cottonwood.site.3","cottonwood.site.4",15.2,0.871428571428572
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29465,-123.18972,"cottonwood.site.3","cottonwood.site.4",15.7,0.5875
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.1,0.95
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15,1
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.3,0.833333333333333
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.6,0.677777777777778
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.2,0.871428571428572
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.7,0.5875
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.3,0.833333333333333
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.3,0.833333333333333
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.2,0.871428571428572
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.4,0.766666666666666
"cottonwood","8/17/2021","10:20",2021-08-17 10:20:00,44.29443,-123.18976,"cottonwood.site.4","cottonwood.site.4",15.4,0.766666666666666
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",14.2,NA
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",14.1,NA
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",14.7,2.02857142857143
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",14.6,2.04285714285714
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",15.8,1.86
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28426,-123.18561,"harrisburg.site.1","harrisburg.site.1",14.8,2.01428571428571
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",16.1,1.78888888888889
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",16.4,1.72222222222222
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",16.3,1.74444444444444
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",16.9,1.54
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",17,1.58461538461538
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28424,-123.18529,"harrisburg.site.2","harrisburg.site.2",16.2,1.76666666666667
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28409,-123.18487,"harrisburg.site.3","harrisburg.site.3",17.1,1.54
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28409,-123.18487,"harrisburg.site.3","harrisburg.site.3",17.6,1.33333333333333
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28409,-123.18487,"harrisburg.site.3","harrisburg.site.3",17,1.55
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28409,-123.18487,"harrisburg.site.3","harrisburg.site.3",17.5,1.36666666666667
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28362,-123.18369,"harrisburg.site.4","harrisburg.site.4",17,0.35
"harrisburg","8/17/2021","11:45",2021-08-17 11:45:00,44.28362,-123.18369,"harrisburg.site.4","harrisburg.site.4",17.2,0.200000000000002
