"date.time","logger.site","logger.position","sensor.depth","site.total.depth","logger.type","latitude","longitude","dissolved.oxygen","temperature","logger.id"
2021-07-26 00:00:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.484,"20659257"
2021-07-26 00:00:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.5,19.52,"21063703"
2021-07-26 00:00:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,14.002,"20659258"
2021-07-26 00:00:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.41,12.82,"21063706"
2021-07-26 00:00:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.504753,12.59166,"NA"
2021-07-26 00:05:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.484,"20659257"
2021-07-26 00:05:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.46,19.5,"21063703"
2021-07-26 00:05:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.954,"20659258"
2021-07-26 00:05:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.3,12.8,"21063706"
2021-07-26 00:05:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.39879,12.5754,"NA"
2021-07-26 00:10:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.46,"20659257"
2021-07-26 00:10:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.61,19.48,"21063703"
2021-07-26 00:10:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.954,"20659258"
2021-07-26 00:10:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.3,12.78,"21063706"
2021-07-26 00:10:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.39879,12.55914,"NA"
2021-07-26 00:15:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.484,"20659257"
2021-07-26 00:15:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.46,19.48,"21063703"
2021-07-26 00:15:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.954,"20659258"
2021-07-26 00:15:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.2,12.78,"21063706"
2021-07-26 00:15:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.30246,12.55914,"NA"
2021-07-26 00:20:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.484,"20659257"
2021-07-26 00:20:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.17,19.46,"21063703"
2021-07-26 00:20:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.954,"20659258"
2021-07-26 00:20:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.32,12.78,"21063706"
2021-07-26 00:20:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.418056,12.55914,"NA"
2021-07-26 00:25:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.436,"20659257"
2021-07-26 00:25:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.35,19.44,"21063703"
2021-07-26 00:25:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.906,"20659258"
2021-07-26 00:25:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.99,12.78,"21063706"
2021-07-26 00:25:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.100167,12.55914,"NA"
2021-07-26 00:30:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.436,"20659257"
2021-07-26 00:30:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.54,19.42,"21063703"
2021-07-26 00:30:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.906,"20659258"
2021-07-26 00:30:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.07,12.76,"21063706"
2021-07-26 00:30:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.177231,12.54288,"NA"
2021-07-26 00:35:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.436,"20659257"
2021-07-26 00:35:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.53,19.4,"21063703"
2021-07-26 00:35:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.906,"20659258"
2021-07-26 00:35:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.09,12.76,"21063706"
2021-07-26 00:35:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.196497,12.54288,"NA"
2021-07-26 00:40:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.389,"20659257"
2021-07-26 00:40:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.47,19.4,"21063703"
2021-07-26 00:40:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.906,"20659258"
2021-07-26 00:40:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.99,12.76,"21063706"
2021-07-26 00:40:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.100167,12.54288,"NA"
2021-07-26 00:45:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.413,"20659257"
2021-07-26 00:45:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.53,19.38,"21063703"
2021-07-26 00:45:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.882,"20659258"
2021-07-26 00:45:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.98,12.76,"21063706"
2021-07-26 00:45:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.090534,12.54288,"NA"
2021-07-26 00:50:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.365,"20659257"
2021-07-26 00:50:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.26,19.36,"21063703"
2021-07-26 00:50:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.834,"20659258"
2021-07-26 00:50:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.79,12.74,"21063706"
2021-07-26 00:50:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,2.907507,12.52662,"NA"
2021-07-26 00:55:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.341,"20659257"
2021-07-26 00:55:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.36,19.34,"21063703"
2021-07-26 00:55:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.858,"20659258"
2021-07-26 00:55:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.71,12.74,"21063706"
2021-07-26 00:55:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,2.830443,12.52662,"NA"
2021-07-26 01:00:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.341,"20659257"
2021-07-26 01:00:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.18,19.3,"21063703"
2021-07-26 01:00:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.834,"20659258"
2021-07-26 01:00:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.65,12.74,"21063706"
2021-07-26 01:00:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,2.772645,12.52662,"NA"
2021-07-26 01:05:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.294,"20659257"
2021-07-26 01:05:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.38,19.3,"21063703"
2021-07-26 01:05:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.81,"20659258"
2021-07-26 01:05:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.7,12.72,"21063706"
2021-07-26 01:05:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,2.82081,12.51036,"NA"
2021-07-26 01:10:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.294,"20659257"
2021-07-26 01:10:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.34,19.28,"21063703"
2021-07-26 01:10:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.834,"20659258"
2021-07-26 01:10:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,3.85,12.7,"21063706"
2021-07-26 01:10:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,2.965305,12.4941,"NA"
2021-07-26 01:15:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.199,"20659257"
2021-07-26 01:15:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,7.99,19.26,"21063703"
2021-07-26 01:15:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.81,"20659258"
2021-07-26 01:15:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.06,12.72,"21063706"
2021-07-26 01:15:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.167598,12.51036,"NA"
2021-07-26 01:20:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.222,"20659257"
2021-07-26 01:20:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.46,19.24,"21063703"
2021-07-26 01:20:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.834,"20659258"
2021-07-26 01:20:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.11,12.74,"21063706"
2021-07-26 01:20:00,"site.2","bottom.do","3.6",3.8,"NA",44.23156,-123.1628,3.215763,12.52662,"NA"
2021-07-26 01:25:00,"site.2","surface.temp","0",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,19.175,"20659257"
2021-07-26 01:25:00,"site.2","surface.do","0.25",3.8,"hobo.onset.do",44.2315577,-123.1627615,8.27,19.22,"21063703"
2021-07-26 01:25:00,"site.2","mid.temp","1",3.8,"hobo.onset.temp",44.2315577,-123.1627615,NA,13.81,"20659258"
2021-07-26 01:25:00,"site.2","mid.do","2.2",3.8,"hobo.onset.do",44.2315577,-123.1627615,4.06,12.74,"21063706"
