"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-07-26 04:30:00,25,2,1,NA,14,44.23122,-123.1629,71,330,1,1,1,1,1,1,1,1,1,1,2.4,19.08,1,1,1,1,1,1,1,1,1,1
2021-07-26 05:20:00,25,2,1,0.565685425,13.2,44.23122,-123.1629,79,50,1,1,1,0,0,0,0,0,0,0,-0.800000000000001,18.985,0,0,0,0,0,0,0,0,0,0
2021-07-26 21:30:00,25,1,1,NA,14.8,44.2333796,-123.1625399,36,800,1,1,1,1,1,1,1,1,1,1,1.6,20.746,1,1,1,1,1,1,1,1,1,1
2021-07-27 00:30:00,25,2,1,0.765941686,14,44.23122,-123.1629,78,180,1,1,1,1,1,1,1,1,1,1,-0.800000000000001,20.198,0,0,0,0,0,0,0,0,0,0
2021-07-28 12:00:00,25,1,1,NA,14.8,44.2333796,-123.1625399,91,30,1,0,0,0,0,0,0,0,0,0,1.6,19.484,1,0,0,0,0,0,0,0,0,0
2021-07-28 12:30:00,25,1,1,NA,14,44.2333796,-123.1625399,83,30,1,0,0,0,0,0,0,0,0,0,-0.800000000000001,19.436,0,0,0,0,0,0,0,0,0,0
2021-07-28 20:40:00,25,2,1,0,13.2,44.23122,-123.1629,75,110,1,1,1,1,1,1,1,1,1,0,1.6,20.388,1,1,1,1,1,1,1,1,1,0
2021-07-28 21:00:00,25,2,1,0.4,12.4,44.23122,-123.1629,80,20,0,0,0,0,0,0,0,0,0,0,-0.799999999999999,20.269,0,0,0,0,0,0,0,0,0,0
2021-07-28 21:30:00,25,2,1,1.808621329,14,44.23122,-123.1629,91,30,1,0,0,0,0,0,0,0,0,0,1.6,20.269,1,0,0,0,0,0,0,0,0,0
2021-07-29 00:00:00,25,1,2,1.847520861,16.4,44.2333796,-123.1625399,76,150,1,1,1,1,1,1,1,1,1,1,2.4,19.96,1,1,1,1,1,1,1,1,1,1
2021-07-29 00:10:00,25,1,1,0.357770876,13.2,44.2333796,-123.1625399,81,10,0,0,0,0,0,0,0,0,0,0,-3.2,19.888,0,0,0,0,0,0,0,0,0,0
2021-07-29 15:30:00,25,2,1,0.461880215,14,44.23122,-123.1629,81,230,1,1,1,1,1,1,1,1,1,1,1.6,20.913,1,1,1,1,1,1,1,1,1,1
2021-07-29 16:50:00,25,2,1,NA,13.2,44.23122,-123.1629,52,80,1,1,1,1,1,1,0,0,0,0,-0.800000000000001,21.103,0,0,0,0,0,0,0,0,0,0
2021-07-29 18:40:00,25,2,1,NA,14.8,44.23122,-123.1629,54,100,1,1,1,1,1,1,1,1,0,0,1.6,21.223,1,1,1,1,1,1,1,1,0,0
2021-07-29 19:20:00,25,2,1,NA,13.2,44.23122,-123.1629,88,40,1,1,0,0,0,0,0,0,0,0,-1.6,20.984,0,0,0,0,0,0,0,0,0,0
2021-07-30 21:50:00,25,1,1,2.571640203,17.2,44.2333796,-123.1625399,86,40,1,1,0,0,0,0,0,0,0,0,3.2,19.532,1,1,0,0,0,0,0,0,0,0
2021-07-30 22:10:00,25,1,1,NA,13.2,44.2333796,-123.1625399,52,20,0,0,0,0,0,0,0,0,0,0,-4,19.46,0,0,0,0,0,0,0,0,0,0
2021-07-31 18:50:00,25,2,1,0.765941686,14.8,44.23122,-123.1629,75,120,1,1,1,1,1,1,1,1,1,1,1.6,19.365,1,1,1,1,1,1,1,1,1,1
2021-07-31 19:00:00,25,2,1,0.565685425,14,44.23122,-123.1629,73,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,19.318,0,0,0,0,0,0,0,0,0,0
