"foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120","tag.id"
63,48,38,32,30,24,24,22,22,19,11
18,12,10,9,6,5,5,5,5,5,12
18,14,12,10,9,9,7,7,6,6,13
25,17,14,12,11,10,10,8,8,8,14
14,12,11,11,10,10,9,9,8,8,15
27,25,19,17,13,12,12,11,10,10,16
4,4,3,2,2,2,2,2,2,2,17
4,4,4,3,3,3,3,3,3,3,18
14,14,13,13,13,13,13,12,12,12,19
22,18,15,14,12,11,11,10,8,8,20
19,15,12,11,10,8,8,7,6,6,21
14,10,8,6,6,4,3,3,3,3,22
34,28,20,14,11,9,8,7,7,6,23
8,6,4,3,3,3,2,2,2,2,24
23,20,18,17,17,17,15,13,12,11,25
4,4,4,4,4,3,3,3,3,3,26
21,14,11,9,8,8,6,6,6,5,27
8,6,3,3,2,2,2,2,2,2,29
38,34,21,19,19,17,17,17,16,14,30
12,10,9,7,7,7,7,4,4,4,31
14,11,9,7,6,5,3,3,3,3,32
9,9,9,9,9,9,9,9,9,9,33
7,7,7,7,7,7,7,7,7,7,34
4,2,1,1,1,1,1,1,1,1,35
6,5,5,5,5,5,5,5,4,4,36
8,7,4,4,4,3,3,3,3,3,37
17,16,15,12,12,11,10,10,8,7,38
38,27,24,17,14,11,9,9,9,8,39
