location,capture.location,date,mass,forklength,final.mass,final.forklength,anesthesia.dose,anesthesia.change.out,anesthesia.time,surgical.time,recovery.time,tag.type,tag.id,tag.mass.g,release.location,release.latitude,release.longitude,ibutton.data.downloaded,ibutton.notes,
blue.ruin,head,7/23/2021,130.1,236,NA,NA,3,n,NA,3:00,4:00,radio.tag,19,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,126.4,232,NA,NA,3,n,NA,2:45,7:15,radio.tag,37,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,118,227,NA,NA,3,y,2:44,2:37,4:45,radio.tag,34,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,97.2,210,NA,NA,3,n,2:13,2:28,3:30,radio.tag,36,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,148.4,250,NA,NA,3,n,2:08,2:37,1:57,radio.tag,12,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,128,230,NA,NA,3,y,2:12,2:44,4:50,radio.tag,33,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,135.5,237,NA,NA,3,y,2:14,2:27,2:30,radio.tag,21,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,78.2,198,NA,NA,3,n,2:07,2:03,2:00,radio.tag,38,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,126.5,231,NA,NA,3,n,2:30,2:05,3:00,radio.tag,23,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,107,215,NA,NA,3,n,2:00,2:30,2:40,radio.tag,16,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,114,225,NA,NA,3,n,2:09,2:04,3:36,radio.tag,31,1.8,mid.alcove,,,NA,,
blue.ruin,mid,7/23/2021,411,345,NA,NA,3,n,3:37,2:40,2:03,radio.tag,22,1.8,mid.alcove,,,NA,,
blue.ruin,mid,7/23/2021,255,300,NA,NA,3,n,2:58,2:13,3:30,radio.tag,25,1.8,mid.alcove,,,NA,,
blue.ruin,mid,7/23/2021,95,203,NA,NA,3,n,2:33,2:20,3:30,radio.tag,32,1.8,mid.alcove,,,NA,,
blue.ruin,mid,7/23/2021,208,261,NA,NA,3,n,2:24,2:41,3:00,radio.tag,13,1.8,mid.alcove,,,NA,,
blue.ruin,mid,7/23/2021,103,212,NA,NA,3,y,2:02,2:17,2:30,radio.tag,17,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,209.5,275,NA,NA,3,n,2:03,2:07,2:43,radio.tag,11,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,320.5,326,NA,NA,3,n,2:17,2:10,3:00,radio.tag,26,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,158.3,245,NA,NA,3,n,2:01,2:14,1:32,radio.tag,35,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,114.9,214,NA,NA,3,n,2:03,2:21,3:23,radio.tag,24,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,176,258,NA,NA,3,y,2:19,2:12,4:18,radio.tag,29,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,155.4,244,NA,NA,3,n,1:51,1:59,2:15,radio.tag,30,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,88,205,NA,NA,3,n,2:13,2:37,1:00,radio.tag,15,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,128.3,234,NA,NA,3,n,2:00,2:00,1:00,radio.tag,39,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,117.6,229,NA,NA,3,n,2:16,2:15,2:00,radio.tag,40,1.8,mid.alcove,,,NA,,
blue.ruin,mouth,7/23/2021,119.5,227,NA,NA,3,y,2:31,1:57,2:00,radio.tag,14,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,126,236,NA,NA,3,n,2:20,2:05,1:30,radio.tag,20,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,118,228,NA,NA,3,n,2:11,2:30,4:00,radio.tag,27,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,111.4,226,NA,NA,3,n,2:16,2:00,NA,radio.tag,18,1.8,mid.alcove,,,NA,,
blue.ruin,head,7/23/2021,302.6,313,288.2,312,3,n,2:13,1:54,4:14,ibutton,23,4.4,br.pen.1,,,y,,
blue.ruin,head,7/23/2021,158.6,264,250.1,261,3,n,2:23,1:47,3:45,ibutton,29,4.2,br.pen.1,,,n,button failed to log,fish was floppy on surgical table
blue.ruin,head,7/23/2021,251.6,289,235.8,286,3,y,1:57,2:20,3:00,ibutton,1,4.4,br.pen.1,,,y,,
blue.ruin,head,7/23/2021,409.5,348,395.5,345,3,n,2:03,1:43,4:45,ibutton,3,3.7,br.pen.1,,,y,,
blue.ruin,head,7/23/2021,156,247,NA,NA,3,n,2:43,1:37,3:24,ibutton,26,4.1,br.pen.1,,,n,fish escaped,
blue.ruin,mid,7/23/2021,419,334,398.3,355,3,n,2:21,1:47,2:09,ibutton,11,4.3,br.pen.1,,,y,,
blue.ruin,mid,7/23/2021,295,287,281.5,284,3,y,2:09,1:45,1:49,ibutton,7,3.7,br.pen.1,,,y,,
blue.ruin,mid,7/23/2021,287,304,297.3,302,3,n,2:14,1:50,3:00,ibutton,30,4,br.pen.1,,,y,,
blue.ruin,mid,7/23/2021,286.5,297,276.6,295,3,n,2:45,1:50,4:00,ibutton,10,3.9,br.pen.1,,,y,,
blue.ruin,mid,7/23/2021,263,284,249.2,281,3,n,2:13,1:03,3:30,ibutton,12,4,br.pen.1,,,n,button failed to log,
telemetry,NA,7/24/2021,347.1,335,402.5,333,3,y,1:18,1:43,4:56,ibutton,25,3.5,telem.pen.1,,,n,tag at bottom don't know when detached from fish - one tagless fish in pen with ~same length,
telemetry,NA,7/24/2021,282.5,289,269,289,3,n,2:36,1:53,1:31,ibutton,13,4.1,telem.pen.1,,,y,,
telemetry,NA,7/24/2021,305.7,311,NA,NA,3,n,1:20,2:18,6:00,ibutton,19,3.4,telem.pen.1,,,n,tag at bottom don't know when detached from fish,caudal wound
telemetry,NA,7/24/2021,307.6,298,292.4,298,3,n,1:31,1:45,3:09,ibutton,16,3.9,telem.pen.1,,,y,,
telemetry,NA,7/24/2021,284.1,289,NA,NA,3,y,1:44,1:25,2:37,ibutton,27,4.1,telem.pen.1,,,n,fish escaped,
telemetry,NA,7/24/2021,240.7,294,227.8,291,3,n,2:16,1:53,1:41,ibutton,4,3.6,telem.pen.1,,,y,tag at bottom don't know when detached from fish - one tagless fish in pen with ~same length,
telemetry,NA,7/24/2021,318.4,323,304.5,320,3,n,2:14,1:47,3:00,ibutton,14,4.2,telem.pen.1,,,y,,
telemetry,NA,7/24/2021,423.4,363,389,360,3,n,2:18,1:31,2:45,ibutton,2,3.5,telem.pen.1,,,y,,
telemetry,NA,7/24/2021,167.9,253,158,249,3,y,2:36,1:35,2:21,ibutton,6,3.7,telem.pen.1,,,y,,
