ibutton,date,time,date.time,temperature.c
5,7/22/2021,8:54:01,7/22/2021 8:54:00,22.188
5,7/22/2021,9:06:01,7/22/2021 9:06:00,23.062
5,7/22/2021,9:18:01,7/22/2021 9:18:00,24.312
5,7/22/2021,9:30:01,7/22/2021 9:30:00,25.562
5,7/22/2021,9:42:01,7/22/2021 9:42:00,26.688
5,7/22/2021,9:54:01,7/22/2021 9:54:00,28.062
5,7/22/2021,10:06:01,7/22/2021 10:06:00,29.875
5,7/22/2021,10:18:01,7/22/2021 10:18:00,32
5,7/22/2021,10:30:01,7/22/2021 10:30:00,34.5
5,7/22/2021,10:42:01,7/22/2021 10:42:00,36.938
5,7/22/2021,10:54:01,7/22/2021 10:54:00,39.125
5,7/22/2021,11:06:01,7/22/2021 11:06:00,40.375
5,7/22/2021,11:18:01,7/22/2021 11:18:00,42.188
5,7/22/2021,11:30:01,7/22/2021 11:30:00,41.625
5,7/22/2021,11:42:01,7/22/2021 11:42:00,29
5,7/22/2021,11:54:01,7/22/2021 11:54:00,24.5
5,7/22/2021,12:06:01,7/22/2021 12:06:00,23.062
5,7/22/2021,12:18:01,7/22/2021 12:18:00,22.625
5,7/22/2021,12:30:01,7/22/2021 12:30:00,22.5
5,7/22/2021,12:42:01,7/22/2021 12:42:00,22.375
5,7/22/2021,12:54:01,7/22/2021 12:54:00,22.375
5,7/22/2021,13:06:01,7/22/2021 13:06:00,5.062
5,7/22/2021,13:18:01,7/22/2021 13:18:00,3.812
5,7/22/2021,13:30:01,7/22/2021 13:30:00,3.688
5,7/22/2021,13:42:01,7/22/2021 13:42:00,3.688
5,7/22/2021,13:54:01,7/22/2021 13:54:00,3.562
5,7/22/2021,14:06:01,7/22/2021 14:06:00,3.562
5,7/22/2021,14:18:01,7/22/2021 14:18:00,3.562
5,7/22/2021,14:30:01,7/22/2021 14:30:00,3.562
5,7/22/2021,14:42:01,7/22/2021 14:42:00,3.625
5,7/22/2021,14:54:01,7/22/2021 14:54:00,3.688
5,7/22/2021,15:06:01,7/22/2021 15:06:00,3.688
5,7/22/2021,15:18:01,7/22/2021 15:18:00,3.75
5,7/22/2021,15:30:01,7/22/2021 15:30:00,3.812
5,7/22/2021,15:42:01,7/22/2021 15:42:00,3.812
5,7/22/2021,15:54:01,7/22/2021 15:54:00,3.812
5,7/22/2021,16:06:01,7/22/2021 16:06:00,3.938
5,7/22/2021,16:18:01,7/22/2021 16:18:00,3.938
5,7/22/2021,16:30:01,7/22/2021 16:30:00,4.25
5,7/22/2021,16:42:01,7/22/2021 16:42:00,4.875
5,7/22/2021,16:54:01,7/22/2021 16:54:00,5.75
5,7/22/2021,17:06:01,7/22/2021 17:06:00,6.688
5,7/22/2021,17:18:01,7/22/2021 17:18:00,7.625
5,7/22/2021,17:30:01,7/22/2021 17:30:00,8.438
5,7/22/2021,17:42:01,7/22/2021 17:42:00,9.25
5,7/22/2021,17:54:01,7/22/2021 17:54:00,10
5,7/22/2021,18:06:01,7/22/2021 18:06:00,10.688
5,7/22/2021,18:18:01,7/22/2021 18:18:00,11.375
5,7/22/2021,18:30:01,7/22/2021 18:30:00,12
5,7/22/2021,18:42:01,7/22/2021 18:42:00,12.562
5,7/22/2021,18:54:01,7/22/2021 18:54:00,18.75
5,7/22/2021,19:06:01,7/22/2021 19:06:00,22.062
5,7/22/2021,19:18:01,7/22/2021 19:18:00,22.688
5,7/22/2021,19:30:01,7/22/2021 19:30:00,23.562
5,7/22/2021,19:42:01,7/22/2021 19:42:00,25.312
5,7/22/2021,19:54:01,7/22/2021 19:54:00,26
5,7/22/2021,20:06:01,7/22/2021 20:06:00,26.125
5,7/22/2021,20:18:01,7/22/2021 20:18:00,26
5,7/22/2021,20:30:01,7/22/2021 20:30:00,25.75
5,7/22/2021,20:42:01,7/22/2021 20:42:00,25.312
5,7/22/2021,20:54:01,7/22/2021 20:54:00,24.875
5,7/22/2021,21:06:01,7/22/2021 21:06:00,24.312
5,7/22/2021,21:18:01,7/22/2021 21:18:00,23.812
5,7/22/2021,21:30:01,7/22/2021 21:30:00,23.312
