ibutton,date,time,date.time,temperature.c
18,7/22/2021,8:57:01,7/22/2021 8:57,23.763
18,7/22/2021,9:09:01,7/22/2021 9:09,24.826
18,7/22/2021,9:21:01,7/22/2021 9:21,25.951
18,7/22/2021,9:33:01,7/22/2021 9:33,27.388
18,7/22/2021,9:45:01,7/22/2021 9:45,28.575
18,7/22/2021,9:57:01,7/22/2021 9:57,30.323
18,7/22/2021,10:09:01,7/22/2021 10:09,32.319
18,7/22/2021,10:21:01,7/22/2021 10:21,34.003
18,7/22/2021,10:33:01,7/22/2021 10:33,35.811
18,7/22/2021,10:45:01,7/22/2021 10:45,37.617
18,7/22/2021,10:57:01,7/22/2021 10:57,39.299
18,7/22/2021,11:09:01,7/22/2021 11:09,41.352
18,7/22/2021,11:21:01,7/22/2021 11:21,43.467
18,7/22/2021,11:33:01,7/22/2021 11:33,37.742
18,7/22/2021,11:45:01,7/22/2021 11:45,28.575
18,7/22/2021,11:57:01,7/22/2021 11:57,25.139
18,7/22/2021,12:09:01,7/22/2021 12:09,24.263
18,7/22/2021,12:21:01,7/22/2021 12:21,24.076
18,7/22/2021,12:33:01,7/22/2021 12:33,24.013
18,7/22/2021,12:45:01,7/22/2021 12:45,23.888
18,7/22/2021,12:57:01,7/22/2021 12:57,23.888
18,7/22/2021,13:09:01,7/22/2021 13:09,6.086
18,7/22/2021,13:21:01,7/22/2021 13:21,5.206
18,7/22/2021,13:33:01,7/22/2021 13:33,5.017
18,7/22/2021,13:45:01,7/22/2021 13:45,5.143
18,7/22/2021,13:57:01,7/22/2021 13:57,5.08
18,7/22/2021,14:09:01,7/22/2021 14:09,5.143
18,7/22/2021,14:21:01,7/22/2021 14:21,5.143
18,7/22/2021,14:33:01,7/22/2021 14:33,5.143
18,7/22/2021,14:45:01,7/22/2021 14:45,5.206
18,7/22/2021,14:57:01,7/22/2021 14:57,5.206
18,7/22/2021,15:09:01,7/22/2021 15:09,5.269
18,7/22/2021,15:21:01,7/22/2021 15:21,5.332
18,7/22/2021,15:33:01,7/22/2021 15:33,5.269
18,7/22/2021,15:45:01,7/22/2021 15:45,5.269
18,7/22/2021,15:57:01,7/22/2021 15:57,5.457
18,7/22/2021,16:09:01,7/22/2021 16:09,5.457
18,7/22/2021,16:21:01,7/22/2021 16:21,5.332
18,7/22/2021,16:33:01,7/22/2021 16:33,5.709
18,7/22/2021,16:45:01,7/22/2021 16:45,6.651
18,7/22/2021,16:57:01,7/22/2021 16:57,7.468
18,7/22/2021,17:09:01,7/22/2021 17:09,8.41
18,7/22/2021,17:21:01,7/22/2021 17:21,9.289
18,7/22/2021,17:33:01,7/22/2021 17:33,10.168
18,7/22/2021,17:45:01,7/22/2021 17:45,10.921
18,7/22/2021,17:57:01,7/22/2021 17:57,11.674
18,7/22/2021,18:09:01,7/22/2021 18:09,12.365
18,7/22/2021,18:21:01,7/22/2021 18:21,13.055
18,7/22/2021,18:33:01,7/22/2021 18:33,13.619
18,7/22/2021,18:45:01,7/22/2021 18:45,14.246
18,7/22/2021,18:57:01,7/22/2021 18:57,19.697
18,7/22/2021,19:09:01,7/22/2021 19:09,21.762
18,7/22/2021,19:21:01,7/22/2021 19:21,24.076
18,7/22/2021,19:33:01,7/22/2021 19:33,25.701
18,7/22/2021,19:45:01,7/22/2021 19:45,27.263
18,7/22/2021,19:57:01,7/22/2021 19:57,27.763
18,7/22/2021,20:09:01,7/22/2021 20:09,27.825
18,7/22/2021,20:21:01,7/22/2021 20:21,27.638
18,7/22/2021,20:33:01,7/22/2021 20:33,27.263
18,7/22/2021,20:45:01,7/22/2021 20:45,26.763
18,7/22/2021,20:57:01,7/22/2021 20:57,26.264
18,7/22/2021,21:09:01,7/22/2021 21:09,25.701
18,7/22/2021,21:21:01,7/22/2021 21:21,25.139
18,7/22/2021,21:33:01,7/22/2021 21:33,24.576
18,7/22/2021,21:45:01,7/22/2021 21:45,24.013
18,7/22/2021,21:57:01,7/22/2021 21:57,23.513
18,7/22/2021,22:09:01,7/22/2021 22:09,23.013
18,7/22/2021,22:21:01,7/22/2021 22:21,22.575
18,7/22/2021,22:33:01,7/22/2021 22:33,22.137
18,7/22/2021,22:45:01,7/22/2021 22:45,21.699
18,7/22/2021,22:57:01,7/22/2021 22:57,21.261
18,7/22/2021,23:09:01,7/22/2021 23:09,20.886
18,7/22/2021,23:21:01,7/22/2021 23:21,20.448
