site,date,time,latitude,longitude,fish.capture.loc,thermo.measure.loc,fish.temp,
blue.ruin,8/22/2019,12:30,44.232834,-123.163065,br.0822.thermo.4,br.0822.thermo.4,16.0,
blue.ruin,8/22/2019,12:30,44.232834,-123.163065,br.0822.thermo.4,br.0822.thermo.4,15.7,
blue.ruin,8/22/2019,12:30,44.232834,-123.163065,br.0822.thermo.4,br.0822.thermo.4,14.3,
blue.ruin,8/22/2019,12:30,44.232542,-123.162969,br.0822.thermo.3,br.0822.thermo.3,14.2,
blue.ruin,8/22/2019,12:30,44.230402,-123.162473,br.0822.thermo.2,br.0822.thermo.2,14.5,
blue.ruin,8/22/2019,12:30,44.230402,-123.162473,br.0822.thermo.2,br.0822.thermo.2,14.2,
blue.ruin,8/22/2019,12:30,44.230402,-123.162473,br.0822.thermo.2,br.0822.thermo.2,14.0,
blue.ruin,8/22/2019,12:30,44.230402,-123.162473,br.0822.thermo.2,br.0822.thermo.2,13.9,
blue.ruin,8/22/2019,12:30,44.230402,-123.162473,br.0822.thermo.2,br.0822.thermo.2,14.8,
blue.ruin,8/22/2019,12:30,44.230089,-123.16232,br.0822.thermo.1,br.0822.thermo.1,14.3,
blue.ruin,8/22/2019,12:30,44.230089,-123.16232,br.0822.thermo.1,br.0822.thermo.1,13.8,
blue.ruin,8/22/2019,12:30,44.230089,-123.16232,br.0822.thermo.1,br.0822.thermo.1,14.6,
blue.ruin,8/22/2019,12:30,44.229883,-123.162211,br.0822.thermo.1,br.0822.thermo.1,13.8,
blue.ruin,8/22/2019,12:30,44.229883,-123.162211,br.0822.thermo.1,br.0822.thermo.1,13.8,
norwood,8/27/2019,10:32,44.383901,-123.237078,nor.0827.thermo.1,nor.0827.thermo.1,13.3,~11 more at mouth deeper in macrophytes
norwood,8/27/2019,10:32,44.383901,-123.237078,nor.0827.thermo.1,nor.0827.thermo.1,14.5,
norwood,8/27/2019,10:32,44.383901,-123.237078,nor.0827.thermo.1,nor.0827.thermo.1,14.5,
norwood,8/27/2019,10:32,44.383901,-123.237078,nor.0827.thermo.1,nor.0827.thermo.1,14.9,
norwood,8/27/2019,10:32,44.384147,-123.236812,nor.0827.thermo.2,nor.0827.thermo.2,13.6,mouth
norwood,8/27/2019,10:32,44.384147,-123.236812,nor.0827.thermo.2,nor.0827.thermo.2,14.5,
cottonwood,8/17/2021,10:20,44.29519,-123.18979,cottonwood.site.1,cottonwood.site.1,17.2,
cottonwood,8/17/2021,10:20,44.29519,-123.18979,cottonwood.site.1,cottonwood.site.1,17.2,
cottonwood,8/17/2021,10:20,44.29496,-123.18984,cottonwood.site.2,cottonwood.site.1,16.8,sites 1 and 2 were right next to each other so using thermo measurements from site 1 for fish caught at site 2
cottonwood,8/17/2021,10:20,44.29465,-123.18972,cottonwood.site.3,cottonwood.site.4,15.2,
cottonwood,8/17/2021,10:20,44.29465,-123.18972,cottonwood.site.3,cottonwood.site.4,15.7,sites 3 and 4 were right next to each other so usinig thermocline measurement from site 4 for fish caught at site 3
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.1,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.3,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.6,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.2,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.7,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.3,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.3,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.2,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.4,
cottonwood,8/17/2021,10:20,44.29443,-123.18976,cottonwood.site.4,cottonwood.site.4,15.4,
