site,date,time,date.time,thermo.measure.loc,latitude,longitude,depth.m,temperature.c,do.mg.l,notes
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,2.1,13.9,1.09,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,1.9,14.2,2,fluctuating
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,1.7,14.4,2.7,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,1.5,14.4,2.75,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,1.3,14.7,2.74,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,1.1,14.8,2.76,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.9,15.2,3.1,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.7,15.5,3.63,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.6,15.6,3.95,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.5,16.4,4.4,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.3,16.9,4.83,
cottonwood ,8/17/2021,10:50,8/17/21 10:50:00,cottonwood.site.4,44.29443,-123.18976,0.1,17.3,5.15,
cottonwood ,8/17/2021,11:10,8/17/21 11:10:00,cottonwood.site.1,44.29519,-123.18979,2,16.1,1.8,
cottonwood ,8/17/2021,11:10,8/17/21 11:10:00,cottonwood.site.1,44.29519,-123.18979,1.8,16.1,3.13,
cottonwood ,8/17/2021,11:10,8/17/21 11:10:00,cottonwood.site.1,44.29519,-123.18979,1.6,16.2,4.36,
