date,time,location,latitude,longitude,thermocline_ref,depth_m,temp_c,do_mg_l,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.85,12.7,9.39,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.60,12.3,6.10,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.50,12.3,6.10,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.40,12.2,5.65,just clear of macrophytes
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.30,12.2,5.21,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.20,12.2,5.18,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.10,12.2,5.24,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,1.00,12.3,5.37,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.90,12.5,5.66,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.80,12.6,5.84,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.70,13.4,6.09,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.60,14.0,6.19,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.50,15.6,6.65,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.40,16.2,7.04,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.30,17.0,7.38,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,0.20,17.0,7.39,
8/22/2019,13:00,Blue Ruin, 44.230089¡,-123.162320¡,BR_0822_thermo_1,surf,17.1,7.68,
8/22/2019,13:10,Blue Ruin, 44.230402¡,-123.162473¡,BR_0822_thermo_2,1.85,13.0,7.73,
8/22/2019,13:10,Blue Ruin, 44.230402¡,-123.162473¡,BR_0822_thermo_2,1.70,13.1,7.81,
8/22/2019,13:10,Blue Ruin, 44.230402¡,-123.162473¡,BR_0822_thermo_2,1.60,13.0,7.94,
8/22/2019,13:10,Blue Ruin, 44.230402¡,-123.162473¡,BR_0822_thermo_2,1.50,12.9,6.58,
8/22/2019,13:10,Blue Ruin, 44.230402¡,-123.162473¡,BR_0822_thermo_2,1.40,12.8,6.46,
