site,location,latitude,longitude,time,depth.m,temperature.c,do.mg.l,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,2.1,13.9,1.09,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,1.9,14.2,2,fluctuating
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,1.7,14.4,2.7,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,1.5,14.4,2.75,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,1.3,14.7,2.74,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,1.1,14.8,2.76,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.9,15.2,3.1,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.7,15.5,3.63,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.6,15.6,3.95,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.5,16.4,4.4,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.3,16.9,4.83,
cottonwood.alcove,cottonwood.site.4,44.29443,-123.18976,10:50,0.1,17.3,5.15,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,2,16.1,1.8,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,1.8,16.1,3.13,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,1.6,16.2,4.36,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,1.4,16.2,4.48,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,1.2,16.5,5.31,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,1,16.5,5.5,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.9,17.1,6.15,"~thermocline, temp/do oscillating"
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.8,17.8,6.37,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.6,18.8,6.84,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.4,19.2,6.89,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.2,19.5,6.99,
cottonwood.alcove,cottonwood.site.1,44.29519,-123.18979,11:10,0.1,19.6,7.07,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,1.5,16.6,3.22,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,1.3,16.6,3.15,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,1.1,16.6,3.14,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.9,16.6,3.29,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.7,16.6,3.26,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.5,16.7,3.25,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.3,17.1,2.64,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.1,17.3,2.7,
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.7,16.6,3.56,other side of boat
harrisburg.alcove,harrisburg.site.4,44.28362,-123.18369,12:15,0.1,17.5,3.03,other side of boat
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,1.7,16.7,5.73,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,1.5,17.1,5.68,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,1.3,17.7,6.26,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,1.1,18.5,7.06,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,0.9,19.4,8.26,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,0.7,19.7,8.57,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,0.5,19.7,8.59,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,0.3,19.7,8.59,
harrisburg.alcove,harrisburg.site.3,44.28409,-123.18487,12:30,0.1,19.8,8.57,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,2.1,14.2,2.48,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.9,15.6,3.42,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.8,16.1,5.01,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.7,16.3,3.73,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.5,17.3,5.43,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.3,18.1,6.16,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,1.1,19,6.79,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,0.9,19.4,8,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,0.7,19.8,8.81,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,0.5,19.9,9.71,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,0.3,19.9,9.72,
harrisburg.alcove,harrisburg.site.1,44.28426,-123.18561,12:40,0.1,20,10.63,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,2.1,14.4,3.5,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1.9,15.6,4.95,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1.7,16.5,5.68,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1.5,17,5.73,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1.4,17.8,6.13,do fluctuating here
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1.2,18.7,7.01,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,1,19.3,7.62,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,0.8,19.5,7.79,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,0.6,19.7,7.85,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,0.4,19.9,8.08,
harrisburg.alcove,harrisburg.site.2,44.28424,-123.18529,13:00,0.2,19.9,8.4,
