site,date,time,fish.internal.temp.c,actual.location,location,latitude,longitude,
cottonwood.alcove,8/17/2021,10:20,17.2,cottonwood.site.1,cottonwood.site.1,44.29519,-123.18979,
cottonwood.alcove,8/17/2021,10:20,17.2,cottonwood.site.1,cottonwood.site.1,44.29519,-123.18979,
cottonwood.alcove,8/17/2021,10:20,16.8,cottonwood.site.2,cottonwood.site.1,44.29496,-123.18984,
cottonwood.alcove,8/17/2021,10:20,15.2,cottonwood.site.3,cottonwood.site.4,44.29465,-123.18972,
cottonwood.alcove,8/17/2021,10:20,15.7,cottonwood.site.3,cottonwood.site.4,44.29465,-123.18972,
cottonwood.alcove,8/17/2021,10:20,15.1,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.3,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.6,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.2,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.7,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.3,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.3,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.2,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.4,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
cottonwood.alcove,8/17/2021,10:20,15.4,cottonwood.site.4,cottonwood.site.4,44.29443,-123.18976,
harrisburg.alcove,8/17/2021,11:45,14.2,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,14.1,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,14.7,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,14.6,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,15.8,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,14.8,harrisburg.site.1,harrisburg.site.1,44.28426,-123.18561,
harrisburg.alcove,8/17/2021,11:45,16.1,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,
harrisburg.alcove,8/17/2021,11:45,16.4,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,
harrisburg.alcove,8/17/2021,11:45,16.3,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,
harrisburg.alcove,8/17/2021,11:45,16.9,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,fish grabbed after several seconds at surface
harrisburg.alcove,8/17/2021,11:45,17,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,fish grabbed after several seconds at surface
harrisburg.alcove,8/17/2021,11:45,16.2,harrisburg.site.2,harrisburg.site.2,44.28424,-123.18529,
harrisburg.alcove,8/17/2021,11:45,17.1,harrisburg.site.3,harrisburg.site.3,44.28409,-123.18487,
harrisburg.alcove,8/17/2021,11:45,17.6,harrisburg.site.3,harrisburg.site.3,44.28409,-123.18487,
harrisburg.alcove,8/17/2021,11:45,17,harrisburg.site.3,harrisburg.site.3,44.28409,-123.18487,
harrisburg.alcove,8/17/2021,11:45,17.5,harrisburg.site.3,harrisburg.site.3,44.28409,-123.18487,
harrisburg.alcove,8/17/2021,11:45,17,harrisburg.site.4,harrisburg.site.4,44.28362,-123.18369,
harrisburg.alcove,8/17/2021,11:45,17.2,harrisburg.site.4,harrisburg.site.4,44.28362,-123.18369,
