date.time,logger.site,logger.position,depth,total.depth,dissolved.oxygen,temperature
           2021-08-23 11:39:00,site.2,mid.do,2.2,3.8,8.858,21.31
           2021-08-23 11:44:00,site.2,mid.do,2.2,3.8,8.888,21.26
           2021-08-23 11:49:00,site.2,mid.do,2.2,3.8,8.936,21.611
           2021-08-23 11:54:00,site.2,mid.do,2.2,3.8,8.76,22.188
           2021-08-23 11:59:00,site.2,mid.do,2.2,3.8,8.592,23.819
           2021-08-23 12:04:00,site.2,mid.do,2.2,3.8,8.272,23.275
           2021-08-23 12:09:00,site.2,mid.do,2.2,3.8,8.86,19.846
           2021-08-23 12:14:00,site.2,mid.do,2.2,3.8,9.112,19.503
           2021-08-23 12:19:00,site.2,mid.do,2.2,3.8,9.073,20.608
           2021-08-23 12:24:00,site.2,mid.do,2.2,3.8,8.924,21.887
           2021-08-23 12:29:00,site.2,mid.do,2.2,3.8,8.659,24.506
           2021-08-23 12:34:00,site.2,mid.do,2.2,3.8,5.637,17.322
           2021-08-23 12:39:00,site.2,mid.do,2.2,3.8,5.79,15.834
           2021-08-23 12:44:00,site.2,mid.do,2.2,3.8,5.765,15.157
           2021-08-23 12:49:00,site.2,mid.do,2.2,3.8,5.767,14.563
           2021-08-23 12:54:00,site.2,mid.do,2.2,3.8,5.81,14.398
           2021-08-23 12:59:00,site.2,mid.do,2.2,3.8,5.936,14.286
           2021-08-23 13:04:00,site.2,mid.do,2.2,3.8,6.048,14.286
           2021-08-23 13:09:00,site.2,mid.do,2.2,3.8,6.014,14.147
           2021-08-23 13:14:00,site.2,mid.do,2.2,3.8,6.162,14.13
           2021-08-23 13:19:00,site.2,mid.do,2.2,3.8,6.345,13.999
           2021-08-23 13:24:00,site.2,mid.do,2.2,3.8,6.245,14.147
           2021-08-23 13:29:00,site.2,mid.do,2.2,3.8,6.372,14.051
           2021-08-23 13:34:00,site.2,mid.do,2.2,3.8,6.406,14.104
           2021-08-23 13:39:00,site.2,mid.do,2.2,3.8,6.498,14.025
           2021-08-23 13:44:00,site.2,mid.do,2.2,3.8,6.777,13.843
           2021-08-23 13:49:00,site.2,mid.do,2.2,3.8,6.69,13.947
