site,location,logger.type,depth,logger.id,sensor.depth.m,total.depth,lat,lon,deploy.date,deploy.time,data.retrieved
blue.ruin,site.0.mouth,hobo.onset.temp,NA,20659255,NA,NA,44.23356,-123.162974,,,
blue.ruin,site.1.logger.1,minidot.do,surface.do,956736,0.3,2.9,44.2322885,-123.16297,,,y
blue.ruin,site.1.logger.1,minidot.do,bottom.do,296187,2.5,2.9,44.2322885,-123.16297,,,y
blue.ruin,site.2.logger.2,hobo.onset.do,surface.do,21063703,0.25,3.8,44.2315577,-123.1627615,,,y
blue.ruin,site.2.logger.2,hobo.onset.temp,surface.temp,20659268,0,3.8,44.2315577,-123.1627615,,,y
blue.ruin,site.2.logger.2,hobo.onset.temp,mid.temp,20659258,1,3.8,44.2315577,-123.1627615,,,y
blue.ruin,site.2.logger.2,hobo.onset.do,mid.do,21063706,2.2,3.8,44.2315577,-123.1627615,,,y
blue.ruin,site.2.logger.2,hobo.onset.temp,bottom.temp,20659265,2.85,3.8,44.2315577,-123.1627615,,,y
blue.ruin,site.2.logger.2,hobo.onset.do,bottom.do,20708555,3.6,3.8,44.2315577,-123.1627615,,,n
blue.ruin,site.3.logger.3,hobo.onset.do,surface.do,21063705,0.25,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.3.logger.3,hobo.onset.temp,surface.temp,20659268,0,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.3.logger.3,hobo.onset.temp,mid.temp,20659261,0.8,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.3.logger.3,hobo.onset.do,mid.do,20708556,1.55,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.3.logger.3,hobo.onset.temp,bottom.temp,20659267,1.8,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.3.logger.3,hobo.onset.do,bottom.do,21063702,2.2,2.4,44.2305216,-123.1625627,,,y
blue.ruin,site.4.netpen,hobo.onset.do,surface.do,20708554,0.25,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.4.netpen,hobo.onset.temp,surface.temp,20659266,0,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.4.netpen,hobo.onset.temp,mid.temp,20659256,0.5,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.4.netpen,hobo.onset.do,mid.do,21063701,0.95,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.4.netpen,hobo.onset.temp,bottom.temp,20659269,1.1,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.4.netpen,hobo.onset.do,bottom.do,21063704,1.55,1.7,44.2301936,-123.1624209,7/23/2021,16:00,y
blue.ruin,site.5.logger.5,minidot.do,bottom.do,243373,1.35,1.6,44.2300329,-123.1622797,,,y
blue.ruin,site.5.logger.5,hobo.onset.do,surface.do,20708552,0.4,1.6,44.2300329,-123.1622797,,,y
telemetry.slough,site.1.netpen,hobo.onset.temp,surface.temp,20659254,0,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hobo.onset.do,surface.do,13117,0.25,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hobo.onset.temp,mid.temp,20659259,0.35,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hoto.onset.do,mid.do,931632,0.85,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hobo.onset.temp,mid.low.temp,20659263,1,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hobo.onset.do,bottom.do,215432,1.45,1.65,44.384152,-123.236857,7/24/2021,14:40,y
telemetry.slough,site.1.netpen,hobo.onset.temp,bottom.temp,20659260,1.5,1.65,44.384152,-123.236857,7/24/2021,14:40,y
