site,location,lat,lon,depth.m,temp.c,do.mg.l,time,date,day.segment,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,1.2,14.3,5.71,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,1,14.3,6,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.8,14.7,5.87,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.7,15.9,6.23,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.6,17.8,7.25,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.5,18.5,7.26,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.4,19.2,7.4,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0.3,19.8,7.4,13:00,8/2/2021,noon,
blue.ruin,site.0.5.mouth,44.2329186,-123.1629214,0,20.5,8.05,13:00,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,2.67,12.9,9.5,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,2,13.3,5.19,13:15,8/2/2021,noon,3-4 chinook mid water column
blue.ruin,site.1.logger.1,44.2322885,-123.163012,1.7,13.3,5.08,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,1.5,13.5,5.4,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,1.3,13.5,5.41,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,1,13.7,4.85,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,0.9,13.9,5.4,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,0.8,15,6.15,13:15,8/2/2021,noon,thermocline
blue.ruin,site.1.logger.1,44.2322885,-123.163012,0.7,16.9,6.46,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,0.5,19.2,7.7,13:15,8/2/2021,noon,
blue.ruin,site.1.logger.1,44.2322885,-123.163012,0,20.7,7.8,13:15,8/2/2021,noon,
blue.ruin,site.1.5.mid,44.2319584,-123.1628708,3.7,11.8,2.24,13:30,8/2/2021,noon,
blue.ruin,site.1.5.mid,44.2319584,-123.1628708,3.3,11.8,4.47,13:30,8/2/2021,noon,
blue.ruin,site.1.5.mid,44.2319584,-123.1628708,3.1,11.8,4.55,13:30,8/2/2021,noon,
blue.ruin,site.1.5.mid,44.2319584,-123.1628708,2.9,12.1,8.1,13:30,8/2/2021,noon,
