Variable,DO-maxima,DO-minima,,,,,,,,,,,
Temperature vailable range (°C),12.25 – 25.71,11.81 – 20.70,,,,,,,,,,,
DO available range (mg L?¹),7.82 – 12.42,0.66 – 7.54,,,,,,,,,,,
Selected temperature (95% CI),15.13 (15.08 – 15.17),15.02 (14.97 – 15.07),,,,,,,,,,,
Selected DO (95% CI),9.17 (9.13 – 9.20),2.52 (2.48 – 2.56),,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
